MAC;Id;Name;IsEnabled;CreatedAt;UpdatedAt
60:77:71:60:C8:CF;60950dac4c22070007d66479;K3-003533;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:60:FE:F2;60af95865b05620007da525d;B21030707;PRAWDA;27.05.2021 14:50;
60:77:71:61:04:03;60af95855b05620007da51f7;B21032563;PRAWDA;27.05.2021 14:50;
60:77:71:5F:D7:91;60950daf4c22070007d6657c;K6-008017;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:5D:DF:3E;6024065a7f522d0007fb0266;K3-000471;PRAWDA;10.02.2021 17:14;15.02.2021 14:52
60:77:71:5F:D7:86;60af958d5b05620007da5445;B21030857;PRAWDA;27.05.2021 14:50;
60:77:71:5D:DE:1D;60950db04c22070007d665cf;K6-006458;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:60:C8:F5;60a770485b05620007da4eb8;B21032091;PRAWDA;21.05.2021 10:33;
60:77:71:5F:D8:50;60a7704c5b05620007da4fe9;B21030929;PRAWDA;21.05.2021 10:33;
60:77:71:60:CB:23;60af958b5b05620007da53d5;B21031362;PRAWDA;27.05.2021 14:50;
60:77:71:60:C6:8B;60af958c5b05620007da53f7;B21031515;PRAWDA;27.05.2021 14:50;
60:77:71:60:CF:16;60af95845b05620007da51b2;B21032182;PRAWDA;27.05.2021 14:50;
60:77:71:60:D5:25;609e630f4c22070007d666f7;B21030268;PRAWDA;14.05.2021 13:46;
60:77:71:5F:D8:63;60af95865b05620007da5253;B21030624;PRAWDA;27.05.2021 14:50;
60:77:71:61:02:31;60a770495b05620007da4f1a;B21030493;PRAWDA;21.05.2021 10:33;
60:77:71:5F:EC:BF;60a7704d5b05620007da5038;B21031247;PRAWDA;21.05.2021 10:33;
60:77:71:5F:E9:FC;60a7704a5b05620007da4f46;B21030421;PRAWDA;21.05.2021 10:33;
60:77:71:60:CD:17;609e630f4c22070007d66719;K6-000980;PRAWDA;14.05.2021 13:46;15.06.2021 10:23
60:77:71:61:02:4C;602271cb7f522d0007fb021c;K3-004415;PRAWDA;09.02.2021 12:28;
60:77:71:60:C7:B9;60af958c5b05620007da53e0;B21031400;PRAWDA;27.05.2021 14:50;
60:77:71:61:01:4D;60a7704d5b05620007da5073;B21032390;PRAWDA;21.05.2021 10:33;
60:77:71:60:D3:B5;60950daf4c22070007d6659d;K6-006420;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:5F:D7:5B;60a770495b05620007da4ed2;B21030567;PRAWDA;21.05.2021 10:33;
60:77:71:60:C9:EC;60950dac4c22070007d664b2;K6-006269;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:61:03:45;60af95885b05620007da52f4;B21032501;PRAWDA;27.05.2021 14:50;
